Month,Export
1999-01,3017957108
1999-02,3033602490
1999-03,3342642618
1999-04,2787726431
1999-05,3178871049
1999-06,3374046421
1999-07,3639709668
1999-08,3671628310
1999-09,4373404854
1999-10,4130578931
1999-11,4036365458
1999-12,3911665029
2000-01,4149535381
2000-02,4324470870
2000-03,4333957186
2000-04,3853810270
2000-05,5378966308
2000-06,4744602238
2000-07,4687850844
2000-08,5346756051
2000-09,6018345068
2000-10,6486999377
2000-11,6099672588
2000-12,5225508250
2001-01,5999634362
2001-02,5202360804
2001-03,5061821292
2001-04,5175071380
2001-05,5526689088
2001-06,5376788152
2001-07,5531887083
2001-08,5687101953
2001-09,5606459780
2001-10,6161937532
2001-11,6365978045
2001-12,4935477941
2002-01,6214982279
2002-02,5645530782
2002-03,5446166607
2002-04,5655847862
2002-05,5728404284
2002-06,5287424857
2002-07,6095151858
2002-08,6057152368
2002-09,6739665044
2002-10,7435687072
2002-11,7055021984
2002-12,6246553752
2003-01,7637563191
2003-02,6550714165
2003-03,6372085946
2003-04,6882850411
2003-05,7154738523
2003-06,6785788609
2003-07,7054458436
2003-08,6747423674
2003-09,8391080435
2003-10,9188969219
2003-11,8262324275
2003-12,8270540846
2004-01,8198375442
2004-02,7722376236
2004-03,8100049637
2004-04,8932347608
2004-05,8153300306
2004-06,8821913514
2004-07,8872438642
2004-08,9069784328
2004-09,10102007830
2004-10,10322008615
2004-11,10672316182
2004-12,9696040168
2005-01,9720916157
2005-02,9612370077
2005-03,10085585793
2005-04,9865588962
2005-05,10587197905
2005-06,10731153316
2005-07,11303973658
2005-08,12483281879
2005-09,13191927897
2005-10,12591189024
2005-11,13443648032
2005-12,12764126096
2006-01,13579169511
2006-02,12300076060
2006-03,12511221485
2006-04,11811145271
2006-05,13303460729
2006-06,13079658510
2006-07,13050542093
2006-08,13823972361
2006-09,15415315235
2006-10,16258467718
2006-11,17318694025
2006-12,14658119766
2007-01,17025809991
2007-02,15597480242
2007-03,15810384050
2007-04,13814776278
2007-05,15016344654
2007-06,15131216532
2007-07,17524842920
2007-08,18153617892
2007-09,18232945496
2007-10,20166747865
2007-11,18745350043
2007-12,15480056685
2008-01,19017940409
2008-02,16874288152
2008-03,14567551840
2008-04,15586316677
2008-05,16141851615
2008-06,16412422680
2008-07,19450223416
2008-08,18227007774
2008-09,21178281247
2008-10,21965848587
2008-11,19836669716
2008-12,17213550537
2009-01,17810886481
2009-02,15559160104
2009-03,13865244824
2009-04,14177396714
2009-05,13319219779
2009-06,14350533118
2009-07,15244276638
2009-08,14771574481
2009-09,17152497131
2009-10,16807051634
2009-11,16395477673
2009-12,15344084872
2010-01,16475920367
2010-02,15937610203
2010-03,19454862353
2010-04,16762018815
2010-05,18820128720
2010-06,21260687489
2010-07,22049993772
2010-08,22784065116
2010-09,24739103205
2010-10,23318655551
2010-11,22565355566
2010-12,21278898234
2011-01,21748790256
2011-02,20108460210
2011-03,20935344393
2011-04,19303005446
2011-05,21098804824
2011-06,20892672066
2011-07,20989481183
2011-08,23962061275
2011-09,23113044722
2011-10,22530576316
2011-11,21892721631
2011-12,19384050709
2012-01,22359389568
2012-02,20939275732
2012-03,17791110051
2012-04,18824892835
2012-05,21460848099
2012-06,21064661810
2012-07,22193405395
2012-08,22434774057
2012-09,21089588330
2012-10,22425301551
2012-11,20995978355
2012-12,18560768691
2013-01,22200514320
2013-02,19065485962
2013-03,17819200981
2013-04,18180326366
2013-05,19663057014
2013-06,18395840227
2013-07,20902643110
2013-08,20424503016
2013-09,21249786290
2013-10,21908801592
2013-11,19953988852
2013-12,19168065312
2014-01,22125781885
2014-02,19778400859
2014-03,18659987926
2014-04,18591369085
2014-05,19914857252
2014-06,20765999943
2014-07,22970220409
2014-08,21052101408
2014-09,24901391840
2014-10,24406985602
2014-11,21623997661
2014-12,21727754371
2015-01,25816328510
2015-02,24333617856
2015-03,26014330156
2015-04,20382050250
2015-05,21991121974
2015-06,24120418463
2015-07,25637507636
2015-08,24027039767
2015-09,26965433296
2015-10,26771347180
2015-11,25531978374
2015-12,24323434864
2016-01,26395064279
2016-02,24961579388
2016-03,23944272908
2016-04,20929416093
2016-05,22877440927
2016-06,24326971101
2016-07,24057574747
2016-08,26096623569
2016-09,26954192884
2016-10,26864895419
2016-11,26420000685
2016-12,25104753601
2017-01,28698003242
2017-02,24525587382
2017-03,25736452748
2017-04,23230975749
2017-05,27345997014
2017-06,26120973902
2017-07,27480148645
2017-08,27875949514
2017-09,28080895003
2017-10,28693119434
2017-11,29031109785
2017-12,25935504018
2018-01,32312008979
2018-02,25344600220
2018-03,25365006342
2018-04,23633327707
2018-05,25994967804
2018-06,26937762060
2018-07,30605962230
2018-08,30487492414
2018-09,29118433708
2018-10,34306651245
2018-11,31880391336
2018-12,26654513872
2019-01,33707398897
2019-02,28334195681
2019-03,26807905300
2019-04,27735211117
2019-05,29384666169
2019-06,27292004132
2019-07,33606840176
2019-08,30400129754
2019-09,31730653394
2019-10,35617929540
2019-11,31423939088
2019-12,27431505236
2020-01,34698438226
2020-02,25849915729
2020-03,23597753939
2020-04,29741033422
2020-05,34499777174
2020-06,33506652335
2020-07,35470380369
2020-08,30647900824
2020-09,33794017928
2020-10,33568806082
2020-11,35886244160
2020-12,33709274601
2021-01,34015509290
2021-02,32012129198
2021-03,39466960092
2021-04,34730541586
2021-05,35287452131
2021-06,35721811210
2021-07,36575425083
2021-08,39945153599
2021-09,43953690570
2021-10,42599654648
2021-11,47942516801
2021-12,50240414640
2022-01,51073275681
2022-02,44451448449
2022-03,53207429704
2022-04,47227787736
2022-05,53146715687
2022-06,53667550348
2022-07,50524087168
2022-08,58347901613
2022-09,61067677461
2022-10,56075980659
2022-11,54580334407
2022-12,45495270057
2023-01,48178246466
2023-02,42339355234
2023-03,43423489260
2023-04,42246636614
2023-05,46180989896
2023-06,44097056514
2023-07,43329723083
2023-08,40843969810
2023-09,42202974841
2023-10,46968104955
2023-11,44503227279
2023-12,36487455073
2024-01,38094725971
2024-02,38477488083
2024-03,42275515292
2024-04,41523050969
2024-05,43103582409
2024-06,40123369233
2024-07,46932892164
2024-08,46855818127
2024-09,48352350433
2024-10,51740913586
2024-11,47237348350
2024-12,41018294803
2025-01,46202180532
2025-02,43057457860
2025-03,48970990143
2025-04,44920993168
2025-05,43742464918
2025-06,46900410298
2025-07,48866421786
2025-08,43340975825
2025-09,50250818971
2025-10,49076890606
2025-11,48763946204
2025-12,45288193211
2026-01,46678545278
2026-02,:
2026-03,:
2026-04,:
2026-05,:
2026-06,:
2026-07,:
2026-08,:
2026-09,:
2026-10,:
2026-11,:
2026-12,:
